id,term,category,action,proposed_fate,class_fate,drop_basis,core_basis,coherent_frame,frame_axis,frame_siblings,centrality,cross_axis,placement_rationale,over_specificity_reason,needs_review,confidence,reason
334,microcrystalline silica,Earth Material,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,texture-defined silica refinement rather than a core standalone material kind,"It mainly adds microtextural detail on top of silica-phase identity, with no indispensable child structure or unique core CQ contribution beyond parent and sibling silica classes.",False,0.86,"demoted to Silica Phase + has_quality microcrystalline texture: It mainly adds microtextural detail on top of silica-phase identity, with no indispensable child structure or unique core CQ contribution beyond parent and sibling silica classes."
335,quartz,Earth Material,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],high,False,canonical crystalline SiO2 mineral needed as a stable reusable material class and relation target,,False,0.96,"Quartz is a real silica material kind; current parent is broad but defensible, with no rigidity/dependence violation (steps 4/6)."
336,microcrystalline quartz,Earth Material,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,petrographic texture refinement of quartz rather than a core Earth Material kind,Parent quartz already supplies the mineral identity and material CQ coverage; this term mainly contributes microtextural and occurrence detail for replacement and pore-filling contexts.,False,0.89,demoted to quartz + has_quality microcrystalline texture: Parent quartz already supplies the mineral identity and material CQ coverage; this term mainly contributes microtextural and occurrence detail for replacement and pore-filling contexts.
337,microquartz,Earth Material,REPARENT,,,,,,,[],,,,,,,"parent → quartz: NLD explicitly defines microquartz as a quartz phase composed of quartz crystals smaller than 20 μm, so it is clearly a subtype of quartz; the current parent is not an available existing target."
338,silica cement,Earth Material,KEEP_AS_DEFINED,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],medium,True,definition keeps the silica material basis while making the diagenetic cement facet explicit,,False,0.9,"defined as silica + generated_by some cementation: Silica cement is a central cross-axis reservoir concept with CQ9 relevance, distinguishing cement-forming silica from detrital or replacive silica in a reusable way."
339,macrocrystalline quartz,Earth Material,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,late and coarse petrographic refinement within silica cement,The reusable core distinction is silica cement; this term adds crystal-size and late-stage detail that can be carried as a descriptive facet rather than as a separate class.,False,0.87,demoted to silica cement + has_quality macrocrystalline texture: The reusable core distinction is silica cement; this term adds crystal-size and late-stage detail that can be carried as a descriptive facet rather than as a separate class.
340,Phyllosilicate Mineral,Earth Material,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,broad mineralogical anchor needed to organize the sheet-silicate branch under Earth Material,,False,0.93,A phyllosilicate mineral is a genuine Earth Material subkind defined by sheet-silicate structure; no taxonomic problem is shown.
341,clay mineral,Earth Material,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,shared genus for several retained or expected clay species and a reusable material category used directly in composition statements,,False,0.95,"Clay mineral is a recognized fine-grained phyllosilicate subkind; the Pre-Salt occurrence statements are contextual, not taxonomic."
342,stevensite,Earth Material,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,clay mineral species,"[""kerolite"", ""sepiolite"", ""saponite"", ""illite""]",high,False,atomic conventional mineral species with strong corpus presence inside the Pre-Salt Mg-clay frame,,False,0.91,"Stevensite is a specific smectitic clay mineral, so the parent clay mineral is the correct genus and the NLD supplies real mineralogical differentia."
343,kerolite,Earth Material,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,clay mineral species,"[""stevensite"", ""sepiolite"", ""saponite"", ""illite""]",medium,False,atomic conventional mineral species representing one of the principal authigenic Mg-clays in the reservoir literature,,False,0.86,Kerolite is a recognized mineral species; 'clay mineral' is a correct genus and the NLD adds non-vacuous subtype content.
344,sepiolite,Earth Material,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,"valid species-level term, but accessory and not needed for the lean core once the clay-mineral genus and the principal Mg-clay species are present",Sepiolite is described mainly as a subordinate associated or alteration-related Mg-silicate phase and does not add distinct CQ coverage or branch structure beyond clay mineral plus the main retained Mg-clay species. The core loses little if this narrower species is omitted.,True,0.78,Sepiolite is described mainly as a subordinate associated or alteration-related Mg-silicate phase and does not add distinct CQ coverage or branch structure beyond clay mineral plus the main retained Mg-clay species. The core loses little if this narrower species is omitted.
345,saponite,Earth Material,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specific low-abundance Mg-smectite within an already represented clay-mineral assemblage,"For a lean core, clay mineral plus the more central Pre-Salt Mg-clay species already cover the needed material distinctions; saponite is minor, sparsely related, and not needed as a branch anchor or indispensable endpoint.",True,0.84,"For a lean core, clay mineral plus the more central Pre-Salt Mg-clay species already cover the needed material distinctions; saponite is minor, sparsely related, and not needed as a branch anchor or indispensable endpoint."
346,illite,Earth Material,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specific accessory clay species without structuring value in the core branch,"Illite is a minor peripheral constituent in this corpus; the parent clay mineral already covers the required material category, and this species adds no indispensable core CQ contribution or organizing role beyond a local detrital/burial detail.",True,0.72,"Illite is a minor peripheral constituent in this corpus; the parent clay mineral already covers the required material category, and this species adds no indispensable core CQ contribution or organizing role beyond a local detrital/burial detail."
347,talc,Earth Material,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,Mg-silicate mineral kind,"[""stevensite"", ""kerolite"", ""sepiolite"", ""saponite""]",medium,False,distinct non-clay Mg-silicate phase worth retaining alongside the core Pre-Salt Mg-silicate mineral set,,True,0.78,Talc is a phyllosilicate mineral; current parent is correct and safer than forcing it under 'clay mineral'.
348,Evaporite Mineral,Earth Material,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,"intermediate mixin: groups minerals by depositional origin (evaporation), not a rigid mineral kind (Check 2a)"
349,anhydrite,Earth Material,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,evaporite mineral species,"[""halite"", ""gypsum"", ""carnallite"", ""sylvite"", ""tachyhydrite""]",high,False,central evaporite species within the retained evaporite-mineral frame,,False,0.97,"Probe 1 passes; anhydrite is a bona fide evaporite mineral species, so the parent genus is correct."
350,halite,Earth Material,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],high,False,reusable evaporite-material kind needed to state what dominates the Ariri seal and what salt flows during deformation,,False,0.96,"Probe 1 passes; halite is a bona fide evaporite mineral species, not a contingent role or mixin."
351,gypsum,Earth Material,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],medium,False,"valid mineral species, but its corpus role is peripheral to the main reservoir/seal material distinctions retained in the lean core","In this corpus gypsum is mainly noted as absent from the Barra Velha carbonates, as local fracture fill, or as a broad Ariri occurrence; Evaporite Mineral plus the more central calcium-sulfate and salt members already cover the core evaporite material distinctions.",True,0.69,"In this corpus gypsum is mainly noted as absent from the Barra Velha carbonates, as local fracture fill, or as a broad Ariri occurrence; Evaporite Mineral plus the more central calcium-sulfate and salt members already cover the core evaporite material distinctions."
352,carnallite,Earth Material,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,late-stage compositional detail within the Ariri evaporite assemblage rather than a core reusable material kind,"Carnallite is a specific highly soluble K-Mg chloride salt with low coverage and minimal relation evidence, used mainly to refine the late-stage Ariri salt assemblage already represented by broader evaporite classes and more central members.",False,0.89,"Carnallite is a specific highly soluble K-Mg chloride salt with low coverage and minimal relation evidence, used mainly to refine the late-stage Ariri salt assemblage already represented by broader evaporite classes and more central members."
353,sylvite,Earth Material,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specific late-stage evaporite species adds local mineralogical granularity but little core ontology value,"Sylvite is attested as a local late-stage, highly soluble Ariri salt with limited mentions; omitting it does not remove any major branch anchor, CQ coverage, or indispensable material distinction from the lean core.",False,0.9,"Sylvite is attested as a local late-stage, highly soluble Ariri salt with limited mentions; omitting it does not remove any major branch anchor, CQ coverage, or indispensable material distinction from the lean core."
354,tachyhydrite,Earth Material,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,"minor accessory evaporite of the overlying salt sequence, not a necessary core material class",Tachyhydrite is explicitly described as a local minor accessory evaporite in the Ariri sequence; its value is fine-grained evaporite assemblage detail rather than a broadly reused core earth-material distinction.,False,0.91,Tachyhydrite is explicitly described as a local minor accessory evaporite in the Ariri sequence; its value is fine-grained evaporite assemblage detail rather than a broadly reused core earth-material distinction.
355,mg-clay,Earth Material,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,assemblage-level matrix material used directly in reservoir-quality and secondary-porosity descriptions,,False,0.89,"An Mg-rich clay-mineral assemblage is a genuine earth material, and no better existing rigid genus is clearly supported (steps 4,6)."
356,magnesian clay,Earth Material,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,True,composition- and genesis-refined subtype of mg-clay rather than a core scaffold class,The term adds mainly stevensite/kerolite-dominant and syngenetic subtype detail; a lean core can recover this with mg-clay plus retained constituent minerals and diagenetic process relations.,True,0.74,The term adds mainly stevensite/kerolite-dominant and syngenetic subtype detail; a lean core can recover this with mg-clay plus retained constituent minerals and diagenetic process relations.
357,organic matter,Earth Material,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,broad non-mineral constituent needed alongside mineral material classes,,False,0.95,"Preserved biological sedimentary material is a real earth material, not a role or quality; current genus is acceptable (probes 1,3)."
358,pyrite,Earth Material,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],medium,False,common named diagenetic mineral with explicit process linkage and fracture/replacement relevance,,True,0.79,"Pyrite is a genuine mineral material kind; diagenetic occurrence does not make it a role/process class (steps 4,6)."
359,barite,Earth Material,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,"minor late-stage accessory mineral, not needed in the lean core material scaffold","The evidence presents barite mainly as a minor late diagenetic/hydrothermal fracture-fill indicator; that is useful descriptive detail, but not a core earth-material distinction.",False,0.86,"The evidence presents barite mainly as a minor late diagenetic/hydrothermal fracture-fill indicator; that is useful descriptive detail, but not a core earth-material distinction."
360,fluorite,Earth Material,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,"valid mineral species, but in this branch it is a minor accessory hydrothermal phase with no children and no distinct core role beyond generic mineral/material coverage.","Fluorite has low corpus support, only one CQ shared with many Earth Material siblings, and just a single process relation mention; its omission would not materially reduce core competency for major pre-salt earth materials or hydrothermal alteration.",False,0.87,"Fluorite has low corpus support, only one CQ shared with many Earth Material siblings, and just a single process relation mention; its omission would not materially reduce core competency for major pre-salt earth materials or hydrothermal alteration."
